Column1,Column3,Column4,Column5,Column7,Column8,Column11,Column12,Column15,Column20
W282AR,104.3,SAVANNAH,GA,0.18,0.18,32-03-26,81-08-47,,
WFRG-FM,104.3,UTICA,NY,100.0,100.0,43-03-23,75-25-02,639C,BIG FROG 104
KAJM,104.3,CAMP VERDE,AZ,40.0,40.0,34-13-47,112-21-03,10F6,MEGA 104.3 JAMZ
WBBQ-FM,104.3,AUGUSTA,GA,78.0,78.0,33-25-17,81-50-19,1776,WBBQ 104.3
WNLT,104.3,DELHI HILLS,OH,2.0,2.0,39-06-18,84-33-25,782D,K-LOVE
W282CH,104.3,FORT WAYNE,IN,0.25,0.25,41-04-14,85-07-10,,OLDIES 101.1 FM 104.3 FM 1450 AM
WFXK,104.3,BUNN,NC,100.0,100.0,36-02-20,78-03-45,643C,FOXY 107.1 & 104.3
K282BD,104.3,"ORDERVILLE, ETC.",UT,0.0,0.05,37-30-25,112-30-37,,94.5 THE EAGLE
WEYE,104.3,SURGOINSVILLE,TN,4.1,4.1,36-32-05,82-47-52,5BA1,88.3 WCQR
W282AS,104.3,SALTILLO,MS,0.25,0.25,34-14-17,88-41-43,,TUPELO'S HEART & SOUL
W282BS,104.3,DUNLAP,IL,0.25,0.25,40-41-58,89-36-04,,LIFETALK RADIO
W282AY,104.3,CHATTANOOGA,TN,0.22,0.22,35-01-09,85-20-22,,THE MESSAGE
WZFJ,104.3,BREEZY POINT,MN,50.0,50.0,46-36-13,94-15-04,9737,THE PULSE
KPHW,104.3,KANEOHE,HI,2.5,2.5,21-19-38,157-45-14,,POWER 104.3
KFYN-FM,104.3,DETROIT,TX,50.0,50.0,33-45-26,95-32-15,1FB1,104.3 THE RIVER
KWOH-LP,104.3,BIOLA,CA,0.066,0.066,36-48-05,120-01-02,,WINDOW OF HEAVEN 104.3
K282BF,104.3,ODESSA,TX,0.25,0.25,31-49-43,102-23-02,,
K282BN,104.3,ALPINE,WY,0.0,0.25,43-11-52,111-53-00,,BYU- IDAHO RADIO 94.3
K282BQ,104.3,ISLA VISTA,CA,0.0,0.2,34-30-10,119-50-56,,QUALITY ROCK 99.9
KFZE,104.3,DANIEL,WY,4.0,4.0,42-50-39,109-55-28,,FREEZE 92.1
K282BP,104.3,KALISPELL,MT,0.25,0.25,48-05-39,114-16-11,3582,KOFI 1180 AM 104.3 FM
W282BY,104.3,FORT MYERS,FL,0.25,0.25,26-39-12,81-55-21,,ESPN SOUTHWEST FLORIDA
W282BZ,104.3,ELKHORN CITY,KY,0.2,0.2,37-18-24,82-20-04,,FOX SPORTS EAST KENTUCKY
W282CD,104.3,DAYTON,OH,0.25,0.25,39-49-32,84-08-59,----,TRI-STATES POWER & LIGHT STATION
W282CB,104.3,HOPE VALLEY,RI,0.25,0.25,41-29-41,71-47-06,8543,KOOL RADIO AM
K282BJ,104.3,CARBONDALE,CO,0.01,0.0,39-25-23,107-22-31,,INDIE 102.3
W282CJ,104.3,LAFAYETTE,IN,0.099,0.099,40-23-26,86-51-52,,104.3 THE PATRIOT
KSOG-LP,104.3,ALICE,TX,0.1,0.0,27-46-22,98-03-55,,
K282BH,104.3,PHILOMATH,OR,0.0155,0.0155,44-38-25,123-16-25,,KBOO COMMUNITY RADIO
WLPL-LP,104.3,DIXON,IL,0.1,0.0,41-51-09,89-27-01,,
WAYO-LP,104.3,ROCHESTER,NY,0.039,0.039,43-09-35,77-34-44,5726,WAYO 104.3
W282CA,104.3,RICHMOND,VA,0.25,0.25,37-36-52,77-30-56,D466,CLASSIC COUNTRY 104.3
K282BI,104.3,KERRVILLE,TX,0.25,0.25,30-03-42,99-03-43,,92.3 THE RANCH
W282AD,104.3,EAST WINDHAM,NY,ENG DATA MISSING,,--,--,9410,AIR 1
WLEG-LP,104.3,GOSHEN,IN,0.1,0.1,41-34-00,85-47-22,,RADIO HORIZONTE
KPDP-LP,104.3,FAYETTEVILLE,AR,0.1,0.0,36-06-38,94-08-34,,
KNKP-LP,104.3,IMPERIAL,NE,0.1,0.0,40-30-09,101-36-30,,SPIRIT CATHOLIC RADIO
WFOX-LP,104.3,SANDY SPRINGS,SC,0.037,0.0,34-35-34,82-45-06,,FUN RADIO
KBIG-FM1,104.3,SANTA CLARITA,CA,0.0,0.38,34-19-48,118-35-56,,104.3 MY FM
K282CG,104.3,CASA GRANDE,AZ,0.25,0.25,33-00-07,111-40-25,,THE DRIVE
KHCV,104.3,MECCA,CA,6.0,0.0,33-42-09,116-00-44,,LA ESTACION DE LA FAMILIA
KPQG-FM,104.3,GOLIAD,TX,6.0,6.0,28-43-45,97-22-25,,RADIO AMIGO
WULL-LP,104.3,IVYDALE,WV,0.1,0.0,38-32-08,81-02-06,,
W282CC,104.3,ZEPHYRHILLS,FL,0.25,0.25,28-16-54,82-12-30,,BOSS HOG RADIO
W282CE,104.3,BAY ST. LOUIS,MS,0.25,0.25,30-19-25,89-21-02,----,REJOICE AM 1190
KUFA,104.3,HEBBRONVILLE,TX,5.5,5.5,27-20-37,98-39-49,,NO BULL RADIO
KXXU,104.3,SANTA ANNA,TX,4.2,4.2,31-43-25,99-05-51,,KISS FM
WBQR-LP,104.3,BROOKFIELD,WI,0.1,0.0,43-05-56,88-06-16,,
KQFA-LP,104.3,LAFAYETTE,LA,0.05,0.0,30-13-43,92-01-16,,
KJSS-LP,104.3,NORTH LITTLE ROCK,AR,0.1,0.1,34-45-24,92-15-58,,
WCGF-LP,104.3,GREER,SC,0.045,0.0,34-56-20,82-13-31,,
W282CS,104.3,SANFORD,ME,0.25,0.25,43-25-11,70-48-09,A999,SEACOAST OLDIES
K282BW,104.3,GRANTS,NM,0.25,0.25,35-15-11,107-35-48,,K-MINE COUNTRY
W282CK,104.3,ROANOKE,VA,0.099,0.099,37-16-06,79-54-46,,FOX RADIO 910 AND 104.3
W282CM,104.3,MARIANNA,FL,0.25,0.25,30-45-47,85-13-52,,
W282CL,104.3,EASLEY,SC,0.095,0.095,34-50-22,82-38-20,,RADIO THAT CHANGES THE WAY YOU LIVE
K282BX,104.3,LA JUNTA,CO,0.25,0.25,37-59-15,103-35-02,,LIGHTNING 1400
K282BY,104.3,SALEM,OR,0.18,0.18,44-59-50,123-09-12,,KSLM 104.3 FM - 1220 AM
K282BZ,104.3,BOWIE,TX,0.25,0.25,33-35-08,97-48-26,,OLDIES RADIO 1410
W282CN,104.3,GRETNA,VA,0.25,0.25,36-55-34,79-19-49,,LYNCHBURG'S TALK STATION WIQO FM 100.9
W282CV,104.3,STATE COLLEGE,PA,0.25,0.25,40-55-10,77-58-27,,BIGFOOT COUNTRY LEGENDS
W282CO,104.3,BLOOMSBURG,PA,0.25,0.25,41-01-00,76-27-44,,POP RADIO
W282CP,104.3,SEBRING,FL,0.25,0.25,27-30-40,81-31-53,,LITE 105.7 FM
K282CA,104.3,EUGENE,OR,0.105,0.105,44-00-07,123-06-47,,CLASSIC COUNTRY KEED AM
W282CR,104.3,HAGERSTOWN,MD,0.25,0.25,39-40-04,77-43-33,,CLASSIC RADIO WJEJ
W282CT,104.3,FREEPORT,IL,0.25,0.25,42-18-46,89-35-36,,IRON COUNTRY 104.3 & 1570
K282CB,104.3,KLAMATH FALLS,OR,0.25,0.25,42-12-56,121-47-51,,"ESPN 960, THE BASIN'S SPORTS LEADER"
K282CC,104.3,UKIAH,CA,0.1,0.1,39-19-35,123-16-15,,
K282CD,104.3,LOS LUNAS,NM,0.25,0.25,34-47-55,106-48-59,,LIFE TALK RADIO
W282CU,104.3,NORTHVILLE,NY,0.05,0.05,43-13-36,74-10-00,,THE STAR
K282CE,104.3,GREAT FALLS,MT,0.099,0.099,47-31-57,111-16-38,,REAL COUNTRY 104.3
K282CF,104.3,DUBUQUE,IA,0.013,0.013,42-31-04,90-36-52,,KISS 107.5
KBVP,104.3,OLNEY,TX,25.0,25.0,33-25-17,98-43-46,,B-104 POSITIVE COUNTRY
KIMB,104.3,KIMBALL,NE,26.0,26.0,41-15-08,103-39-51,,ON TOP OF NEBRASKA
NEW,104.3,WHITEHALL,MT,0.1,0.1,45-52-50,112-06-37,,
NEW,104.3,HILO,HI,0.1,0.1,19-42-43,155-04-47,,
WQKT,104.5,WOOSTER,OH,52.0,52.0,40-47-31,81-54-17,7FFF,WQKT 104.5 SPORTS + COUNTRY
WFMB-FM,104.5,SPRINGFIELD,IL,43.0,43.0,39-45-36,89-39-05,6315,
K283AB,104.5,SOLDOTNA,AK,0.26,0.0,60-31-56,151-04-59,,K-WAVE FM 104.9
WSNX-FM,104.5,MUSKEGON,MI,32.0,32.0,43-12-16,86-01-45,1599,WSNX 104.5
KSLQ-FM,104.5,WASHINGTON,MO,3.0,3.0,38-36-03,90-56-04,,Q 94.5
WKAK,104.5,ALBANY,GA,98.0,98.0,31-32-57,84-00-19,6F1A,GEORGIA 104.5
KNBR-FM3,104.5,"PLEASANTON, ETC.",CA,0.185,0.0,37-52-55,121-55-05,,KNBR 680 104.5 THE SPORTS LEADER
WXLO,104.5,FITCHBURG,MA,37.0,37.0,42-30-27,71-49-37,9290,104.5 XLO
WLZZ,104.5,MONTPELIER,OH,3.0,3.0,41-30-54,84-39-43,,SUPERSTAR COUNTRY Z 104
WILZ,104.5,SAGINAW,MI,2.9,2.9,43-23-34,83-55-27,72EB,WHEELS
WSLD,104.5,WHITEWATER,WI,6.0,6.0,42-43-38,88-44-54,,104.5 WSLD COUNTRY
WTMM-FM,104.5,MECHANICVILLE,NY,5.0,5.0,42-52-44,73-51-47,8818,ESPN - THE TEAM
KMGC,104.5,CAMDEN,AR,3.0,3.0,33-30-14,92-48-38,,MAGIC 104.5
K283AD,104.5,ROSEBURG,OR,0.043,0.043,43-12-24,123-21-47,,SAM FM
KFXJ,104.5,AUGUSTA,KS,47.0,47.0,37-48-15,97-16-04,1F93,CLASSIC ROCK 104.5
W283CE,104.5,LENOIR,NC,0.25,0.25,35-54-25,81-29-22,,CLASSIC HITS AM 1080 104.5 AND 99.5
K283AE,104.5,CAVE JUNCTION,OR,0.011,0.011,42-15-29,123-39-39,,THE MUSIC LEADER
W283CC,104.5,WATERTOWN,NY,0.065,0.065,43-57-23,75-50-26,,TUNES 92.5 AND 104.5 FM
KDOT,104.5,RENO,NV,25.0,25.0,39-18-48,119-53-02,,PURE ROCK 104 DOT 5
WBVN,104.5,CARRIER MILLS,IL,6.0,6.0,37-46-25,88-44-20,,THE GIFT OF FM 104.5
KTRN,104.5,WHITE HALL,AR,3.0,3.0,34-13-13,92-04-37,32F3,K-TRAIN
WCCG,104.5,HOPE MILLS,NC,6.0,6.0,34-56-34,78-51-41,,SOUL 104.5
WYYU,104.5,DALTON,GA,13.5,13.5,34-49-42,84-53-41,,MIXX 104.5
WXMJ,104.5,CAMBRIDGE SPRINGS,PA,2.55,2.55,41-42-10,80-09-54,92A5,WUZZ RADIO
WXRR,104.5,HATTIESBURG,MS,100.0,100.0,31-25-52,89-08-51,932F,ROCK 104
K283AG,104.5,SIOUX CITY,IA,0.0,0.25,42-29-39,96-24-54,,99.9/104.5 THE OUTLAW
WKHJ,104.5,MOUNTAIN LAKE PARK,MD,1.55,1.55,39-24-36,79-17-17,6FCF,104.5 KHJ
KNBR-FM,104.5,SAN FRANCISCO,CA,7.1,7.1,37-45-19,122-27-06,372F,KNBR 680 104.5 THE SPORTS LEADER
W283AB,104.5,FLORENCE,SC,0.25,0.25,34-11-55,79-46-05,,NEWS TALK 1400
WHLC,104.5,HIGHLANDS,NC,0.54,0.54,35-03-40,83-11-07,,SOFT AND EASY FAVORITES
WYHW,104.5,CAROLINA BEACH,NC,17.0,17.0,34-05-52,77-58-18,94D4,BIBLE BROADCASTING NETWORK
KDAT,104.5,CEDAR RAPIDS,IA,100.0,100.0,42-04-51,91-41-45,,TODAY`S BEST MIX
WNBT-FM,104.5,WELLSBORO,PA,50.0,50.0,41-44-11,77-21-50,7729,"96-104-107 FM, BIGFOOT COUNTRY"
WLKT,104.5,LEXINGTON-FAYETTE,KY,50.0,50.0,38-04-09,84-18-44,12CB,104.5 THE CAT
KBTW,104.5,LENWOOD,CA,1.1,1.1,34-58-15,117-02-22,,RADIO L
WHAJ,104.5,BLUEFIELD,WV,93.0,62.0,37-15-05,81-11-20,,J-104
WRVR,104.5,MEMPHIS,TN,100.0,100.0,35-09-16,89-49-20,83BF,THE RIVER
KZXQ,104.5,LAKE OF THE WOODS,AZ,0.82,0.82,34-42-35,108-45-58,,
KRVQ-FM,104.5,LAKE ISABELLA,CA,0.2,0.2,35-37-21,118-26-16,,104.5 THE RIVER
KBEF,104.5,GIBSLAND,LA,6.0,6.0,32-31-59,93-11-34,,PRAISE 104.5
KCEC-FM,104.5,WELLTON,AZ,1.75,1.75,32-40-22,114-20-14,,RADIO CAMPESINA
WGRX,104.5,FALMOUTH,VA,2.7,2.7,38-16-31,77-32-34,6651,THUNDER 104.5
WGFX,104.5,GALLATIN,TN,58.0,58.0,36-16-05,86-47-45,6519,104.5 THE ZONE
KKDA-FM,104.5,DALLAS,TX,99.0,99.0,32-35-19,96-58-05,2AB6,K 104
KSTT-FM,104.5,ATASCADERO,CA,4.7,4.7,35-21-40,120-39-21,,COAST 104.5
WYCJ-LP,104.5,SIMPSONVILLE,SC,0.067,0.067,34-45-23,82-12-22,,
WWOH-LP,104.5,MARIETTA,OH,0.027,0.027,39-25-05,81-27-24,,
WJJK,104.5,NOBLESVILLE,IN,50.0,50.0,39-50-25,86-10-34,6D60,CLASSIC HITS 104.5 WJJK
KJYR,104.5,NEWPORT,WA,87.0,0.0,48-23-09,117-14-15,2A45,JOY 104.5
WNVZ,104.5,NORFOLK,VA,49.0,49.0,37-02-18,76-18-29,7937,Z-104
WSTK,104.5,AURORA,NC,4.2,4.2,35-18-10,76-33-59,,THE BRIDGE FM
KPUS,104.5,GREGORY,TX,14.0,14.0,27-52-02,97-13-07,,104.5 THE EAGLE
WKPJ-LP,104.5,ATHENS,TN,0.056,0.056,35-25-57,84-34-40,,
WXYR-LP,104.5,MONTICELLO,KY,0.002,0.002,36-48-29,84-50-46,,
KSRZ,104.5,OMAHA,NE,98.0,98.0,41-18-16,96-01-41,415B,STAR 104.5
KKVU,104.5,STEVENSVILLE,MT,14.15,14.15,46-48-06,113-58-22,2C9E,U 104.5
KSTY-FM1,104.5,COLORADO SPRINGS,CO,0.0028,0.0028,38-44-43,104-51-39,,STAR COUNTRY 104.5 FM
K283AZ,104.5,ANCHORAGE,AK,0.099,0.099,61-04-00,149-44-44,,VALLEY NEWS TALK
W283BA,104.5,SELDEN,NY,0.01,0.01,40-50-32,73-02-25,,K-LOVE
WRFU-LP,104.5,URBANA,IL,0.09,0.0,40-06-41,88-12-25,,
K283BC,104.5,HOBBS,NM,0.036,0.036,32-42-38,103-09-06,,AIR1
WXER,104.5,PLYMOUTH,WI,5.1,5.1,43-43-32,88-03-07,91DD,104.5 & 96.1 THE POINT
K283AQ,104.5,EL DORADO,NM,0.05,0.05,35-41-20,105-58-42,,RELEVANT RADIO
W283CQ,104.5,ROCKY MOUNT,VA,0.25,0.25,36-58-37,79-53-45,,WYTI 1570AM - 104.5FM
W283AW,104.5,TALLAHASSEE,FL,0.0,0.165,30-29-16,84-16-47,,CSN INTERNATIONAL
WYWH-LP,104.5,ATHENS,OH,0.1,0.1,39-19-59,82-05-20,,
KCVN,104.5,COZAD,NE,100.0,100.0,40-41-48,99-47-18,1777,BOTT RADIO NETWORK
W283AG,104.5,BINGHAMTON,NY,0.061,0.061,42-08-09,75-52-35,5A54,SOLID GOLD 104.5
W283CT,104.5,DOUGLASVILLE,GA,0.18,0.18,33-45-48,84-44-28,,
W283AP,104.5,PRESTONSBURG,KY,0.25,0.25,37-39-57,82-48-12,,MUSIC RADIO WPKE 98.1 - WPRT 104.5
K283AO,104.5,SMITHFIELD,UT,0.25,0.25,41-52-18,111-48-31,,CLASSIC ROCK
WNXX,104.5,JACKSON,LA,3.0,3.0,30-44-44,91-07-32,7969,104.5 ESPN BATON ROUGE
K283CQ,104.5,LIHUE,HI,0.25,0.25,21-59-31,159-24-21,,KUAI AM 570 & 104.5 FM
W283AT,104.5,WALTON,NY,0.07,0.07,42-09-34,75-07-26,,FAMILY LIFE NETWORK
W283AH,104.5,MANCHESTER,KY,0.01,0.01,37-08-58,83-45-08,,
W283CR,104.5,MORGANTOWN,WV,0.25,0.25,39-36-29,79-59-07,,MORGANTOWN 1440 AM 104.5 FM
K283AT,104.5,WALLACE,ID,0.0,0.005,47-33-49,115-50-01,,YOUR NETWORK OF PRAISE
KZEP-FM,104.5,SAN ANTONIO,TX,100.0,100.0,29-25-06,98-29-01,127B,104.5 LATINO HITS
KSTY,104.5,CANON CITY,CO,8.6,8.6,38-18-54,105-12-40,,STAR COUNTRY 104.5 FM
WLXD,104.5,STATE COLLEGE,MS,12.0,12.0,33-22-04,88-41-39,740D,K-LOVE
W283BE,104.5,SCRANTON,PA,0.194,0.194,41-25-36,75-44-51,,ROCK 107
K283CG,104.5,LAS CRUCES,NM,0.215,0.215,32-18-33,106-49-24,,KOOL OLDIES 104.5
KBUN-FM,104.5,BLACKDUCK,MN,8.5,8.5,47-33-26,94-48-04,,FM SPORTS RADIO
WRFQ,104.5,MOUNT PLEASANT,SC,100.0,100.0,32-49-04,79-50-09,121E -  ''KAUW',Q 104.5
W283BF,104.5,CANANDAIGUA,NY,0.24,0.24,42-44-47,77-25-35,5A9D,THE LAKE 100.1 & 104.5
KXZK,104.5,VAIL,AZ,4.1,4.1,31-55-39,110-37-59,,
W283CK,104.5,WEST SPRINGFIELD,MA,0.25,0.25,42-08-11,72-36-42,85C7,BOMBA RADIO
W283CP,104.5,MURRAY,KY,0.25,0.25,36-38-08,88-19-10,,THE BUSY BEE 104.5
WRFF,104.5,PHILADELPHIA,PA,11.5,11.5,40-02-30,75-14-24,1213,ALT 104.5
WHNB,104.5,HANCOCK,NY,6.0,6.0,41-57-43,75-16-17,,THUNDER 102 & 104.5
DW283BL,104.5,MALTA,OH,0.045,0.045,39-38-36,81-51-29,,BIBLE BROADCASTING NETWORK
KKFG,104.5,BLOOMFIELD,NM,100.0,100.0,36-38-33,107-46-56,,KOOL 104.5
K283CN,104.5,FORT COLLINS,CO,0.08,0.08,40-32-47,105-11-53,,JUMP 104.5
KJLY,104.5,BLUE EARTH,MN,50.0,50.0,43-54-38,94-03-10,28FA,
W283BN,104.5,DANVILLE,VA,0.25,0.25,36-36-41,79-23-06,,"WBRG 104.5 FM, 105.1 FM AND SUPERTALK 1050"
WVMJ,104.5,CONWAY,NH,1.85,1.85,43-56-48,71-08-24,8D5D,MAGIC 104
KHHS,104.5,PEARCY,AR,4.1,4.1,34-26-56,93-15-59,,KEEPING HIM CLOSE BY
K283BM,104.5,POCATELLO,ID,0.099,0.099,42-52-26,112-30-47,38B8,94.9 & 104.5 THE ROCK
KJYR-FM1,104.5,SPOKANE,WA,9.0,9.0,47-41-52,117-31-07,2A45,JOY 104.5
KJTX,104.5,JEFFERSON,TX,2.5,2.5,32-49-23,94-28-32,,KJ 104
W283AQ,104.5,CROSS LANES,WV,0.25,0.25,38-23-53,81-41-06,,
KUMR,104.5,DOOLITTLE,MO,2.0,2.0,37-52-42,92-01-04,,SUNNY 104.5
W283BO,104.5,LANCASTER,OH,0.24,0.24,39-44-09,82-35-51,,THE WOLF
WZFR,104.5,EASTPOINT,FL,11.5,11.5,29-43-57,84-53-24,973F,FAITH RADIO
K283BG,104.5,MINNEAPOLIS,MN,0.099,0.099,44-56-47,93-19-25,4648,RADIO K
KKMY,104.5,ORANGE,TX,100.0,100.0,30-09-20,93-59-10,1BB8 - 'KELK',104.5 KISS FM
WHLB-LP,104.5,CARTERSVILLE,GA,0.1,0.1,34-12-40,84-49-47,,
KLSM,104.5,TALLULAH,LA,25.0,25.0,32-22-13,91-07-39,2EEC,K-HITS 104.5
K283CM,104.5,AUBURN,CA,0.25,0.25,38-51-28,121-01-35,,AM 950 KAHI THE VOICE OF THE FOOTHILLS
KPTJ,104.5,GRAPE CREEK,TX,25.0,25.0,31-26-18,100-34-19,,MAGIA 104.5
WZTC,104.5,TRAVERSE CITY,MI,1.75,1.75,44-46-36,85-41-02,989C,BOB FM 104.5
W283AK,104.5,ELIZABETHTOWN,KY,0.16,0.16,37-44-42,85-53-21,,THE WOLF
K283BP,104.5,HELENA,MT,0.25,0.25,46-49-30,111-42-13,D42F,DAVE FM
WAXX,104.5,EAU CLAIRE,WI,100.0,100.0,44-39-49,90-57-40,5715,"TODAY'S COUNTRY, WAXX 104.5"
KZZW,104.5,MOORELAND,OK,62.0,62.0,36-16-23,99-26-45,54A4,YOU'RE WITH FAMILY
KZKY,104.5,UCON,ID,37.0,37.0,43-32-34,111-53-07,38B8,94.9 & 104.5 THE ROCK
KHPD-LP,104.5,HURRICANE,UT,0.1,0.0,37-10-31,113-18-04,,
W283BP,104.5,STAMFORD,NY,0.0,0.04,42-23-57,74-35-23,,RIP 97.9
K283BS,104.5,"MANTI, ETC.",UT,0.0,0.033,39-19-20,111-46-12,,NPR UTAH
K283BH,104.5,BEND,OR,0.15,0.15,44-04-40,121-19-53,,KBNW 1340 AND 104.5
KCBW,104.5,GRANDIN,MO,6.0,6.0,36-48-15,90-43-12,1578,THE ROCK
W283AN,104.5,ALTAMONTE SPRINGS,FL,0.221,0.221,28-36-21,81-27-26,D4B8,104.5 THE BEAT
W284CB,104.5,ST. CLAIR,PA,0.15,0.15,40-45-45,76-08-17,,WGRC CHRISTIAN RADIO
W283CM,104.5,FORT PAYNE,AL,0.013,0.013,34-27-26,85-43-12,,YOUR NPR NEWS STATION
WKHT,104.5,KNOXVILLE,TN,1.4,1.4,36-00-10,83-56-40,6FD9,HOT 104.5
K283CS,104.5,SEWARD-WOODROW,AK,0.0,0.25,60-11-52,149-22-48,,K-BAY 93.3
KIMX-FM,104.5,CENTENNIAL,WY,13.5,13.5,41-17-06,105-26-41,266F,I MIX 104.5
W283BS,104.5,BRIDGEPORT,CT,0.25,0.25,41-13-10,73-12-06,7622,BOMBA RADIO
WOKV-FM,104.5,ATLANTIC BEACH,FL,98.8,98.8,30-16-34,81-33-53,7AB9,NEWS 104.5 WOKV
KMYZ-FM,104.5,PRYOR,OK,70.0,70.0,36-01-10,95-39-24,3239,Z 104.5 THE EDGE TULSA'S ROCK ALTERNATIVE
KWMZ-FM,104.5,EMPIRE,LA,13.5,13.5,29-33-45,89-49-46,4B69,Z 104.5
KWBB,104.5,UPTON,WY,85.0,85.0,44-28-29,104-26-27,,104.5 BOB FM
K283BT,104.5,ASTORIA,OR,0.07,0.07,46-11-05,123-50-45,,OPB
K283AR,104.5,CHICO,CA,0.245,0.245,39-39-04,121-27-48,,LIFE RADIO 930
KNHK-FM2,104.5,COLVILLE,WA,1.0,1.0,48-34-23,117-53-46,,POSITIVE LIFE RADIO
W283BQ,104.5,ITHACA,NY,0.019,0.019,42-24-49,76-34-15,,24 HOUR SOURCE FOR NPR NEWS
W283BT,104.5,BURLINGTON,NC,0.019,0.019,36-05-51,79-29-11,,HOPE 104.5
K283BW,104.5,OKLAHOMA CITY,OK,0.25,0.0,35-32-51,97-29-30,3F48,
K283CH,104.5,HOUSTON,TX,0.099,0.099,29-45-30,95-22-03,FFFF,LA GRANDE
K283CR,104.5,WAIMEA,HI,0.0,0.1,19-53-10,155-39-32,,HPR 2
W283CO,104.5,RENSSELAER,IN,0.25,0.25,40-58-13,87-09-38,,THE BEAR 104.5 FM -  1560AM
K283BU,104.5,WACO,TX,0.25,0.25,31-30-33,97-10-04,,AM 1010
W283CL,104.5,COLUMBUS,OH,0.25,0.25,39-56-14,83-01-16,,THE WORD 880 - 104.5 FM WRFD
K283CB,104.5,RUIDOSO,NM,0.028,0.028,33-23-06,105-39-41,,RADIO AMIGO
K283CC,104.5,DES MOINES,IA,0.25,0.25,41-37-55,93-27-26,,PURE OLDIES 104.5
K283CI,104.5,ST. LOUIS,MO,0.099,0.099,38-38-09,90-11-45,,
K283BX,104.5,WAPATO,WA,0.25,0.25,46-31-55,120-27-14,12CC,HOT 99.7
KCUN-LP,104.5,LIVINGSTON,TX,0.021,0.021,30-43-45,94-58-24,,
KBMC-LP,104.5,MACKS CREEK,MO,0.0704,0.0,38-10-05,93-00-49,,
KHDZ-LP,104.5,PORTERVILLE,CA,0.0658,0.0,36-03-15,119-11-42,,
KBYC,104.5,MARKHAM,TX,23.0,23.0,28-48-34,95-57-48,,RADIO VIDA VISION
KCCR-FM,104.5,BLUNT,SD,100.0,100.0,44-18-42,100-21-09,,CAPITAL CITY ROCK
W283BW,104.5,NEW LONDON,CT,0.25,0.25,41-28-30,72-06-17,85C7 (WSPR),BOMBA RADIO
K283BV,104.5,DAVENPORT,IA,0.25,0.25,41-32-14,90-34-30,D350,ALT 104.5
KYTP-LP,104.5,GALT,CA,0.1,0.0,38-15-16,121-18-05,,
KLSW,104.5,COVINGTON,WA,6.7,6.7,47-32-45,122-06-25,2EF6,K-LOVE
WASP-LP,104.5,HUNTINGTON,WV,0.005,0.0,38-22-38,82-30-56,,
W283CG,104.5,INMAN,SC,0.25,0.25,34-58-52,81-59-11,,THE BLOCK 96.3
KNHK-FM3,104.5,SANDPOINT,ID,0.0,0.2,48-13-45,116-30-32,,POSITIVE LIFE RADIO
KVIW-LP,104.5,DEMING,NM,0.05,0.0,32-15-45,107-46-20,,
K283CJ,104.5,ABILENE,TX,0.035,0.035,32-26-39,99-44-02,,AIR1
K283BZ,104.5,PEACH SPRINGS,AZ,0.0,0.03,35-11-46,114-01-51,,NASH 102.3
K283CK,104.5,FORT MADISON,IA,0.25,0.25,40-39-30,91-16-20,,FOX SPORTS 1360
K295BV,104.5,JEFFERSON CITY,MO,0.25,0.25,38-34-46,92-14-02,,NEWSRADIO 950
KZCW-LP,104.5,CONROE,TX,0.008,0.0,30-24-50,95-30-48,,LONE STAR COMMUNITY RADIO
K283BL,104.5,PORTLAND,OR,0.099,0.099,45-31-21,122-44-45,,104.5 WAY FM
KWPV,104.5,WYNNEWOOD,OK,5.5,5.5,34-42-21,97-14-49,,CHICKASAW COMMUNITY RADIO
K283DB,104.5,ST. GEORGE,UT,0.099,0.099,37-03-50,113-34-28,,NEWS TALK 890
KGDH-LP,104.5,MOBILE,AL,0.035,0.0,30-40-26,88-07-33,,
KENJ-LP,104.5,LOWELL,AR,0.078,0.0,36-15-30,94-08-10,1BEB,
KPLP,104.5,WHITE SALMON,WA,18.0,0.0,45-31-14,121-28-51,38C9,POSITIVE LIFE RADIO
KNHK-FM4,104.5,CHEWELAH,WA,0.021,0.021,48-15-51,117-46-28,,POSITIVE LIFE RADIO
WXLO-FM1,104.5,BOSTON,MA,0.01,0.01,42-20-57,71-04-31,,104.5 XLO
W283CV,104.5,HIGH POINT,NC,0.15,0.15,35-57-22,80-00-21,,HOPE 104.5
W283CU,104.5,CANTONMENT,FL,0.25,0.25,30-27-09,87-14-26,,RADIO THAT CHANGES THE WAY YOU LIVE
W283CY,104.5,CHESTER,SC,0.25,0.25,34-41-54,81-12-06,,GOOD NEWS RADIO
W283CX,104.5,JOHNSTOWN,PA,0.15,0.15,40-19-45,78-53-54,,POP! 104.5
K283CT,104.5,DEQUEEN,AR,0.25,0.25,34-02-38,94-17-41,,RADIO CRISTIANA 1390
W283DA,104.5,LYNCHBURG,VA,0.066,0.066,37-21-32,79-09-32,,"WBRG 104.5 FM, 105.1 FM AND SUPERTALK 1050"
K283CU,104.5,HASKELL,TX,0.25,0.25,33-09-40,99-48-57,,THE RIVER 1400
K283CV,104.5,CLAYTON,NM,0.0,0.25,36-26-38,103-11-25,,CROSSROADS COUNTRY
W283DB,104.5,ARCADIA,FL,0.25,0.25,27-10-58,81-56-56,,CLASSIC COUNTRY 104.5
